sr_no,member_name,sebi_reg_no,member_code,internal_id,details_url
28,BULLPULSE MARKETEDGE PRIVATE LIMITED,INZ000323634,90417,3288,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3288&h_MemType=members&memName=BULLPULSE%20MARKETEDGE%20PRIVATE%20LIMITED
29,SHARE WISE EQUITY BROKERS PRIVATE LIMITED,INZ000300631,90249,3125,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3125&h_MemType=members&memName=SHARE%20WISE%20EQUITY%20BROKERS%20PRIVATE%20LIMITED
30,SUKESH JAIN SECURITIES PRIVATE LIMITED,INZ000233631,90327,3197,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3197&h_MemType=members&memName=SUKESH%20JAIN%20SECURITIES%20PRIVATE%20LIMITED
31,AETRAM TRADES PRIVATE LIMITED,INZ000309838,90356,3227,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3227&h_MemType=members&memName=AETRAM%20TRADES%20PRIVATE%20LIMITED
32,HOLANI CONSULTANTS PRIVATE LIMITED,INZ000299835,90225,3102,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3102&h_MemType=members&memName=HOLANI%20CONSULTANTS%20PRIVATE%20LIMITED
33,GET PROSPER CAPITAL PRIVATE LIMITED,INZ000301435,90231,3108,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3108&h_MemType=members&memName=GET%20PROSPER%20CAPITAL%20PRIVATE%20LIMITED
34,SUNRISE GILTS & SECURITIES PVT LTD,INZ000025734,90076,2941,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2941&h_MemType=members&memName=SUNRISE%20GILTS%20%26%20SECURITIES%20PVT%20LTD
35,SANKALP FINANCE,INZ000298721,90223,3100,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3100&h_MemType=members&memName=SANKALP%20FINANCE
36,EVERMORE SHARE BROKING PRIVATE LIMITED,INZ000022431,07936,772,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=772&h_MemType=members&memName=EVERMORE%20SHARE%20BROKING%20PRIVATE%20LIMITED
37,GIRIRAJ STOCK BROKING PRIVATE LIMITED,INZ000212638,90318,3185,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3185&h_MemType=members&memName=GIRIRAJ%20STOCK%20BROKING%20PRIVATE%20LIMITED
38,ASMAH SHARES & STOCK BROKERS PVT LTD,INZ000305432,90264,3138,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3138&h_MemType=members&memName=ASMAH%20SHARES%20%26%20STOCK%20BROKERS%20PVT%20LTD
39,A SWAMINATHAN,INZ000173014,90139,3015,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3015&h_MemType=members&memName=A%20SWAMINATHAN
