sr_no,member_name,sebi_reg_no,member_code,internal_id,details_url
30,ACA FINSERV LLP,INZ000305857,90256,3132,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3132&h_MemType=members&memName=ACA%20FINSERV%20LLP
31,ACEGROWTH BROKERS PRIVATE LIMITED,INZ000319433,90437,3306,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3306&h_MemType=members&memName=ACEGROWTH%20BROKERS%20PRIVATE%20LIMITED
32,ACEMONEY INTERMEDIARIES PRIVATE LIMITED,INZ000104331,7923,659,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=659&h_MemType=members&memName=ACEMONEY%20INTERMEDIARIES%20PRIVATE%20LIMITED
33,ACHINTYA COMMODITIES PRIVATE LIMITED,INZ000015535,90438,3307,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3307&h_MemType=members&memName=ACHINTYA%20COMMODITIES%20PRIVATE%20LIMITED
34,ACHINTYA SECURITIES PRIVATE LIMITED,INZ000009837,13302,2284,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2284&h_MemType=members&memName=ACHINTYA%20SECURITIES%20PRIVATE%20LIMITED
35,ACK CAPITAL PRIVATE LIMITED,INZ000241733,9987,2159,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2159&h_MemType=members&memName=ACK%20CAPITAL%20PRIVATE%20LIMITED
36,ACME CAPITAL MARKET LIMITED,INZ000311839,90377,3249,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3249&h_MemType=members&memName=ACME%20CAPITAL%20MARKET%20LIMITED
37,ACML CAPITAL MARKETS LIMITED,INZ000260134,11074,1859,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=1859&h_MemType=members&memName=ACML%20CAPITAL%20MARKETS%20LIMITED
38,ACROSS BROKING PRIVATE LIMITED,INZ000189534,90015,2856,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2856&h_MemType=members&memName=ACROSS%20BROKING%20PRIVATE%20LIMITED
39,ACTION FINANCIAL SERVICES (INDIA) LIMITED,INZ000179538,7492,477,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=477&h_MemType=members&memName=ACTION%20FINANCIAL%20SERVICES%20%28INDIA%29%20LIMITED
40,ACTIVE DERIVATIVES PRIVATE LIMITED,INZ000246635,90010,2875,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2875&h_MemType=members&memName=ACTIVE%20DERIVATIVES%20PRIVATE%20LIMITED
41,ACUMEN CAPITAL MARKET (INDIA) LTD,INZ000170434,8814,610,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=610&h_MemType=members&memName=ACUMEN%20CAPITAL%20MARKET%20%28INDIA%29%20LTD
42,ADINATH CAPITAL SERVICES LIMITED,INZ000275235,6921,824,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=824&h_MemType=members&memName=ADINATH%20CAPITAL%20SERVICES%20LIMITED
43,ADINATH STOCK BROKING PRIVATE LIMITED,INZ000204337,12805,2348,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2348&h_MemType=members&memName=ADINATH%20STOCK%20BROKING%20PRIVATE%20LIMITED
44,ADITYA BIRLA MONEY LIMITED,INZ000172636,13470,922,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=922&h_MemType=members&memName=ADITYA%20BIRLA%20MONEY%20LIMITED
